ID,Gender,Race,Age_at_Release,Gang_Affiliated,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Percent_Days_Employed,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3
1,M,BLACK,43-47,0,Some College,3+,Drug,3+ years,6,6+,1,3,3,4,0,0,3+,3,0,2,2+,0,0,0,0.488562092,0,0,0,0,0
2,M,BLACK,33-37,0,< HS Diploma,1,Violent/Non-Sex,3+ years,7,6+,3+,0,3,5+,1,0,3+,4+,1,0,2+,1,1,1,0.425233645,0,1,0,0,1
3,M,BLACK,48 or older,0,Some College,3+,Drug,1-2 years,6,6+,3+,2,2,5+,1,0,3+,2,1,1,2+,0,1,0,0.0,0,1,0,1,0
4,M,WHITE,38-42,0,< HS Diploma,1,Property,1-2 years,8,6+,0,3,3,3,0,0,3+,4+,0,3+,2+,0,0,0,1.0,0,0,0,0,0
5,M,WHITE,33-37,0,< HS Diploma,3+,Violent/Non-Sex,1-2 years,4,4,3+,2,1,3,1,0,1,0,1,0,1,0,0,0,0.203562341,0,1,1,0,0
6,M,WHITE,38-42,0,High School Diploma,0,Property,3+ years,4,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,0.674252002,0,0,0,0,0
7,M,BLACK,48 or older,0,< HS Diploma,2,Unknown,<1 year,10+,6+,1,5+,1,5+,0,1,3+,1,0,3+,0,1,0,1,0.0,0,1,0,0,1
8,M,BLACK,38-42,0,High School Diploma,3+,Drug,3+ years,6,6+,3+,1,2,5+,0,0,1,4+,1,0,2+,1,0,0,0.469446441,0,0,0,0,0
9,F,BLACK,43-47,0,High School Diploma,0,Drug,<1 year,10+,4,2,5+,3,3,0,0,2,4+,0,3+,2+,1,0,0,0.0,1,1,1,0,0
10,M,BLACK,43-47,0,High School Diploma,3+,Property,3+ years,10+,6+,3+,5+,2,5+,1,1,3+,4+,1,3+,2+,1,1,1,0.35971223,0,1,1,0,0
11,M,WHITE,43-47,0,< HS Diploma,1,Violent/Non-Sex,1-2 years,3,6+,2,1,1,3,1,0,0,3,0,0,0,1,0,0,1.0,1,1,0,1,0
12,M,BLACK,33-37,0,High School Diploma,3+,Other,1-2 years,10+,1,1,1,2,3,0,0,3+,1,0,0,2+,0,0,0,0.0,1,1,1,0,0
13,M,WHITE,48 or older,0,< HS Diploma,1,Property,3+ years,8,4,0,5+,2,1,0,0,1,0,0,2,1,0,0,0,0.0,0,0,0,0,0
14,M,BLACK,33-37,1,High School Diploma,0,Drug,1-2 years,10+,3,1,1,5+,5+,0,0,0,1,1,1,2+,0,0,0,1.0,0,1,1,0,0
15,M,WHITE,33-37,0,< HS Diploma,1,Violent/Non-Sex,3+ years,9,3,2,2,4,4,0,1,3+,2,1,1,1,1,0,0,0.0,1,0,0,0,0
16,M,BLACK,33-37,0,< HS Diploma,3+,Unknown,3+ years,4,6+,0,0,3,4,0,1,2,4+,0,0,2+,1,0,0,0.338926174,0,0,0,0,0
17,M,BLACK,38-42,0,< HS Diploma,3+,Property,1-2 years,10+,5,2,3,3,4,1,0,3+,4+,1,1,2+,1,0,0,0.545851528,0,1,1,0,0
18,M,WHITE,43-47,0,High School Diploma,3+,Property,<1 year,10+,6+,0,5+,0,5+,1,1,3+,2,0,3+,0,1,0,0,0.452138493,0,1,0,1,0
19,M,BLACK,48 or older,0,Some College,3+,Property,3+ years,10+,4,0,5+,0,5+,0,0,3+,3,0,2,0,1,0,0,0.918575064,0,0,0,0,0
20,M,WHITE,48 or older,0,< HS Diploma,0,Property,1-2 years,10+,6+,0,5+,1,5+,0,1,2,4+,0,3+,0,1,0,1,0.794736842,0,1,0,0,1
21,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,<1 year,6,6+,3+,1,0,3,1,0,3+,2,1,0,0,1,1,0,1.0,0,0,0,0,0
22,M,BLACK,33-37,0,< HS Diploma,3+,Drug,1-2 years,10+,6+,0,1,5+,5+,0,0,2,4+,0,0,2+,1,0,0,1.0,0,0,0,0,0
23,F,WHITE,48 or older,0,High School Diploma,0,Violent/Non-Sex,1-2 years,2,6+,3+,5+,0,1,1,0,2,2,1,1,0,0,1,0,0.0,0,0,0,0,0
24,F,WHITE,43-47,0,< HS Diploma,0,Other,1-2 years,10+,6+,3+,5+,1,5+,1,0,3+,3,0,2,1,1,0,0,0.99137931,0,0,0,0,0
25,M,BLACK,38-42,0,< HS Diploma,3+,Drug,<1 year,10+,6+,3+,1,5+,5+,1,0,3+,4+,1,1,2+,1,0,0,0.196428571,0,1,1,0,0
26,M,WHITE,48 or older,0,< HS Diploma,1,Property,1-2 years,9,5,0,5+,0,5+,0,0,3+,4+,0,3+,0,1,0,0,1.0,0,1,1,0,0
27,M,WHITE,48 or older,0,< HS Diploma,0,Drug,1-2 years,9,6+,0,0,2,5+,0,0,3+,4+,0,0,2+,1,0,0,0.806451613,0,0,0,0,0
28,M,WHITE,48 or older,0,< HS Diploma,0,Other,1-2 years,10+,6+,3+,5+,1,5+,0,0,3+,4+,1,3+,1,1,0,0,0.0,0,1,0,1,0
29,M,BLACK,43-47,0,High School Diploma,0,Property,3+ years,7,6+,0,5+,0,2,0,1,2,3,0,3+,0,1,0,0,0.895355344,1,0,0,0,0
30,M,BLACK,18-22,0,< HS Diploma,0,Property,1-2 years,5,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0
